author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
real_estate_agent,https://www.cian.ru/sale/flat/303983520/,13,17,1,37.6,11000000.0,Бачуринская
real_estate_agent,https://www.cian.ru/sale/flat/308442652/,2,12,1,37.0,8100000.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/308015825/,4,17,1,33.4,9544436.0,Мичуринец
real_estate_agent,https://www.cian.ru/sale/flat/298254403/,4,33,1,42.9,23600000.0,Алексеевская
real_estate_agent,https://www.cian.ru/sale/flat/308850422/,14,32,1,33.4,18800000.0,Шелепиха
developer,https://www.cian.ru/sale/flat/306746038/,4,19,1,34.5,7739523.0,Улица Горчакова
real_estate_agent,https://www.cian.ru/sale/flat/306281451/,9,29,1,30.1,11750000.0,Новые Черёмушки
real_estate_agent,https://www.cian.ru/sale/flat/307539205/,5,5,1,28.1,6300000.0,Щербинка
developer,https://www.cian.ru/sale/flat/308004740/,2,33,1,35.8,12404700.0,Новохохловская
real_estate_agent,https://www.cian.ru/sale/flat/303776402/,16,17,1,27.0,13000000.0,Беломорская
real_estate_agent,https://www.cian.ru/sale/flat/308428648/,12,18,1,33.0,8865000.0,Некрасовка
developer,https://www.cian.ru/sale/flat/306741319/,2,16,1,37.5,20328519.0,Октябрьское поле
real_estate_agent,https://www.cian.ru/sale/flat/303275078/,9,16,1,42.4,18500000.0,ЗИЛ
real_estate_agent,https://www.cian.ru/sale/flat/303582187/,14,32,1,31.3,9300000.0,Курьяново
developer,https://www.cian.ru/sale/flat/307584811/,22,44,1,33.4,14884643.0,Трикотажная
realtor,https://www.cian.ru/sale/flat/298882717/,9,9,1,36.5,9215000.0,Братиславская
real_estate_agent,https://www.cian.ru/sale/flat/309069976/,13,17,1,38.8,7600000.0,Щербинка
developer,https://www.cian.ru/sale/flat/296320762/,2,7,1,39.0,11571300.0,Филатов Луг
real_estate_agent,https://www.cian.ru/sale/flat/297758518/,8,21,1,44.5,22100000.0,Мнёвники
developer,https://www.cian.ru/sale/flat/297680770/,13,14,1,108.0,27594000.0,Тёплый Стан
real_estate_agent,https://www.cian.ru/sale/flat/299010722/,4,4,1,40.0,38500000.0,Кузнецкий мост
developer,https://www.cian.ru/sale/flat/300193663/,6,14,1,38.94,11590894.0,Зеленоград — Крюково
real_estate_agent,https://www.cian.ru/sale/flat/308469108/,6,10,1,45.7,39490000.0,Белорусская
real_estate_agent,https://www.cian.ru/sale/flat/308878365/,3,14,1,37.0,12350000.0,Медведково
developer,https://www.cian.ru/sale/flat/308314036/,11,13,1,33.4,8906567.0,Бунинская аллея
real_estate_agent,https://www.cian.ru/sale/flat/295210015/,14,23,1,41.1,21200000.0,Терехово 
real_estate_agent,https://www.cian.ru/sale/flat/307553454/,4,17,1,38.3,8490000.0,Зеленоград — Крюково
developer,https://www.cian.ru/sale/flat/308009168/,14,30,1,41.5,16752273.0,Стрешнево
real_estate_agent,https://www.cian.ru/sale/flat/305773383/,4,17,1,34.0,24000000.0,Ленинский проспект
realtor,https://www.cian.ru/sale/flat/309208099/,9,9,1,32.0,11690000.0,Бескудниково
developer,https://www.cian.ru/sale/flat/307513788/,9,30,1,30.3,10492118.0,Бунинская аллея
real_estate_agent,https://www.cian.ru/sale/flat/300019395/,6,14,1,40.0,20990000.0,Достоевская
